"","X","ID","y","Number.of.Cylinders","material.grade","Lubrication","Valve.Type","Bearing.Vendor","Fuel.Type","Compression.ratio","cam.arrangement","Cylinder.arragement","Turbocharger","Varaible.Valve.Timing..VVT.","Cylinder.deactivation","Direct.injection","main.bearing.type","displacement","piston.type","Max..Torque","Peak.Power","Crankshaft.Design","Liner.Design.","TestA","TestB","TestA","TestB"
"1",1,1,"pass",6,"a","L4","C","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","pass","pass","pass","pass"
"2",2,2,"fail",6,"b","L4","C","V3","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"3",3,3,"pass",4,"c","L3","D","V2","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"4",4,4,"pass",4,"f","L2","D","V2","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"5",5,5,"fail",8,"d","L2","B","V2","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"6",6,6,"pass",4,"c","L2","A","V2","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"7",7,7,"pass",8,"c","L3","C","V6","gasoline","low","SOHC","V","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"8",8,8,"fail",8,"d","L2","D","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"9",9,9,"pass",4,"f","L3","D","V1","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"10",10,10,"fail",6,"c","L1","B","V1","gasoline","low","SOHC","V","Yes","Yes","No","No","Roller","high","linear","high","low","CD2","LD1","fail","pass","fail","pass"
"11",11,11,"pass",4,"a","L2","A","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","pass","pass","pass","pass"
"12",12,12,"pass",6,"c","L2","A","V1","gasoline","low","SOHC","V","Yes","Yes","No","No","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"13",13,13,"fail",8,"c","L1","D","V1","gasoline","low","DOHC","V","Yes","Yes","No","Yes","Roller","high","linear","low","high","CD1","LD2","fail","pass","fail","pass"
"14",14,14,"pass",8,"g","L3","C","V4","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"15",15,15,"pass",4,"f","L1","B","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","pass","fail","pass","fail"
"16",16,16,"pass",4,"b","L4","C","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","pass","pass","pass"
"17",17,17,"pass",4,"c","L1","A","V6","petrol","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
